Tooth ID,Treatment Number,d18O,StDev
BR1,0,-6.343207127,0.137028247
BR1,1,-5.494771164,0.266227457
BR1,2,-5.253013376,0.084598322
BR1,3,-5.398360645,0.162258924
BR1,4,-5.504037619,0.213572973
BR1,5,-2.087681098,0.254641072
BR1,6,-4.967337622,0.142165123
BR1,7,-4.497069128,0.423294938
BR2,0,-7.734433653,0.164001909
BR2,1,-6.651863037,0.347635366
BR2,2,-6.549019605,0.100325398
BR2,3,-6.706278426,0.170847227
BR2,4,-6.784614352,0.228931113
BR2,5,-4.470572596,0.496428447
BR2,6,-6.420494526,0.108944606
BR2,7,-5.595899792,0.100319645
BR3,0,-8.558031529,0.147502785
BR3,1,-7.969071259,0.272376864
BR3,2,-7.659646072,0.271316033
BR3,3,-7.999934336,0.329006261
BR3,4,-8.122308133,0.327564347
BR3,5,-5.5597204,0.463249124
BR3,6,-7.862539424,0.136348816
BR3,7,-7.175272315,0.113070394
BR4,0,-7.656041242,0.042417479
BR4,1,-6.709135953,0.31232403
BR4,2,-6.562167594,0.10767208
BR4,3,-6.791571362,0.158077937
BR4,4,-6.70203465,0.342824182
BR4,5,-3.446693372,0.365976858
BR4,6,-6.521970207,0.157010517
BR4,7,-5.958332904,0.139368625
BR5,0,-5.510278571,0.282412281
BR5,1,-5.137916843,0.290251854
BR5,2,-5.019034241,0.105404228
BR5,3,-5.172257838,0.158956873
BR5,4,-5.226731222,0.358416047
BR5,5,-1.390352417,0.101277525
BR5,6,-4.936517529,0.208853112
BR5,7,-4.175100492,0.229923143
BR6,0,-4.798575393,0.106050779
BR6,1,-4.092892646,0.195358272
BR6,2,-3.820295595,0.075185168
BR6,3,-4.099556548,0.174161323
BR6,4,-4.162934904,0.412954135
BR6,5,-0.989604718,0.336935757
BR6,6,-3.553107684,0.141216163
BR6,7,-2.773450183,0.278491415
BR7,0,-5.923546907,0.324007848
BR7,1,-5.056000053,0.102853868
BR7,2,-5.043884628,0.069020745
BR7,3,-5.13712494,0.179137428
BR7,4,-5.087451892,0.196219785
BR7,5,-1.873395282,0.149119462
BR7,6,-5.3124388,0.118889888
BR7,7,-4.844826005,0.151174717
BR8,0,-5.060054862,0.003670556
BR8,1,-4.227676743,0.049613126
BR8,2,-4.204891484,0.115072239
BR8,3,-4.317658794,0.305045556
BR8,4,-4.181718829,0.309859665
BR8,5,-0.875055937,0.039269099
BR8,6,-3.760951123,0.111236898
BR8,7,-3.390411139,0.279379227
BR9,0,-5.205525316,0.154998753
BR9,1,-4.930371362,0.045993692
BR9,2,-4.765780567,0.050313063
BR9,3,-5.01955148,0.187743572
BR9,4,-4.832477495,0.195335581
BR9,5,-1.386822515,0.573064293
BR9,6,-4.870963681,0.127669528
BR9,7,-3.878361002,0.194175844
BR10,0,-4.575447227,0.081474538
BR10,1,-3.915429212,0.18037001
BR10,2,-3.697007384,0.058530657
BR10,3,-3.89571617,0.30389431
BR10,4,-3.63816768,0.06778566
BR10,5,-0.374640417,0.020440103
BR10,6,-3.441218866,0.041054395
BR10,7,-2.67798477,0.049499566
